AgeGroup,population
0-19,20906
20-39,11568
40-59,4801
60+,1639
0-19,679091
20-39,394592
40-59,193007
60+,73890
0-19,678472
20-39,394082
40-59,192582
60+,73668
0-19,678683
20-39,394296
40-59,192717
60+,73709
0-19,87922
20-39,44208
40-59,19367
60+,7102
0-19,205161
20-39,116964
40-59,51634
60+,18784
0-19,81323
20-39,64565
40-59,41658
60+,19463
0-19,90231
20-39,56256
40-59,27233
60+,10261
0-19,214028
20-39,112290
40-59,52809
60+,18061
0-19,613214
20-39,344246
40-59,161972
60+,60228
0-19,691
20-39,860
40-59,705
60+,602
0-19,16406
20-39,13845
40-59,9245
60+,4336
0-19,37166
20-39,36568
40-59,25452
60+,13963
0-19,18776
20-39,9003
40-59,3872
60+,1195
0-19,24
20-39,24
40-59,23
60+,8
0-19,14580
20-39,13436
40-59,10149
60+,7013
0-19,784
20-39,909
40-59,712
60+,538
0-19,21
20-39,21
40-59,28
60+,18
0-19,1445826
20-39,1438369
40-59,1150305
60+,606534
0-19,762753
20-39,856141
40-59,826782
60+,526554
0-19,1440624
20-39,1432593
40-59,1145443
60+,603003
0-19,222625
20-39,209261
40-59,161031
60+,74364
0-19,6436
20-39,7090
40-59,6410
60+,5543
0-19,7677
20-39,8380
40-59,7630
60+,6614
0-19,1746
20-39,2355
40-59,2582
60+,2303
0-19,3017
20-39,3372
40-59,2558
60+,1173
0-19,918448
20-39,978170
40-59,829242
60+,451943
0-19,940441
20-39,998465
40-59,841197
60+,457004
0-19,113
20-39,118
40-59,103
60+,41
0-19,396
20-39,811
40-59,393
60+,83
0-19,59642
20-39,56273
40-59,35653
60+,13098
0-19,62
20-39,72
40-59,75
60+,59
0-19,2067
20-39,2603
40-59,2627
60+,2128
0-19,2611
20-39,2886
40-59,3114
60+,2960
0-19,152
20-39,132
40-59,72
60+,24
0-19,1319007
20-39,1034349
40-59,692369
60+,357318
0-19,598338
20-39,352869
40-59,174321
60+,67110
0-19,561339
20-39,504292
40-59,349995
60+,156879
0-19,86467
20-39,107602
40-59,116262
60+,103544
0-19,66862
20-39,65017
40-59,48663
60+,28009
0-19,5982
20-39,4555
40-59,3113
60+,1741
0-19,6372
20-39,3493
40-59,1630
60+,609
0-19,258
20-39,288
40-59,144
60+,64
0-19,85356
20-39,96721
40-59,91083
60+,70174
0-19,20090
20-39,17201
40-59,13658
60+,7723
0-19,4658
20-39,3676
40-59,2119
60+,1202
0-19,637
20-39,857
40-59,945
60+,821
0-19,1008
20-39,763
40-59,404
60+,158
0-19,60233
20-39,68578
40-59,53878
60+,29848
0-19,128
20-39,142
40-59,113
60+,34
0-19,1331
20-39,1642
40-59,2003
60+,1949
0-19,11576
20-39,5932
40-59,2560
60+,814
0-19,6593
20-39,3564
40-59,1236
60+,479
0-19,201
20-39,192
40-59,108
60+,35
0-19,6627
20-39,6003
40-59,2814
60+,1256
0-19,14018
20-39,7948
40-59,3426
60+,1133
0-19,7939
20-39,10371
40-59,10025
60+,9388
0-19,13873
20-39,12856
40-59,10317
60+,6469
0-19,7163
20-39,6110
40-59,3666
60+,1891
0-19,2697
20-39,1337
40-59,570
60+,208
0-19,64456
20-39,57335
40-59,38666
60+,19188
0-19,28097
20-39,24192
40-59,15404
60+,6625
0-19,5439
20-39,7175
40-59,6973
60+,6136
0-19,739636
20-39,663375
40-59,421018
60+,190660
0-19,9486
20-39,4546
40-59,1733
60+,638
0-19,32
20-39,41
40-59,46
60+,34
0-19,4917
20-39,5937
40-59,4928
60+,3312
0-19,337269
20-39,413973
40-59,438295
60+,249766
0-19,342842
20-39,422850
40-59,448271
60+,257301
0-19,1214
20-39,1985
40-59,2333
60+,1946
0-19,110
20-39,214
40-59,188
60+,115
0-19,4237
20-39,6665
40-59,7444
60+,5451
0-19,15528
20-39,16654
40-59,11991
60+,6689
0-19,77675
20-39,84616
40-59,73985
60+,54297
0-19,1004156
20-39,816907
40-59,505673
60+,238628
0-19,301568
20-39,172590
40-59,81742
60+,28073
0-19,663707
20-39,601577
40-59,384419
60+,175930
0-19,10047
20-39,12529
40-59,11659
60+,10338
0-19,16041
20-39,18350
40-59,18200
60+,16922
0-19,12775
20-39,11845
40-59,9635
60+,7330
0-19,425
20-39,266
40-59,125
60+,38
0-19,2846
20-39,1550
40-59,860
60+,245
0-19,1419
20-39,1647
40-59,1250
60+,756
0-19,2320263
20-39,2165057
40-59,1711506
60+,1002354
0-19,493860
20-39,295083
40-59,151632
60+,58612
0-19,1376889
20-39,1384833
40-59,1119276
60+,593205
0-19,143935
20-39,171114
40-59,189064
60+,174933
0-19,202412
20-39,200684
40-59,149087
60+,82951
0-19,90021
20-39,101166
40-59,92528
60+,85134
0-19,13128
20-39,12158
40-59,9900
60+,7470
0-19,790
20-39,1008
40-59,1133
60+,1154
0-19,2442
20-39,2941
40-59,3524
60+,2397
0-19,38
20-39,35
40-59,41
60+,35
0-19,269
20-39,375
40-59,310
60+,231
0-19,2171
20-39,2581
40-59,3147
60+,2793
0-19,13851
20-39,7830
40-59,3449
60+,1229
0-19,6987
20-39,7564
40-59,7333
60+,3874
0-19,50482
20-39,23928
40-59,10949
60+,4181
0-19,1278
20-39,1444
40-59,1543
60+,1506
0-19,1307
20-39,1473
40-59,1573
60+,1526
0-19,371
20-39,336
40-59,195
60+,65
0-19,3932
20-39,3415
40-59,2285
60+,1195
0-19,89991
20-39,101133
40-59,92493
60+,85105
0-19,311149
20-39,348533
40-59,343105
60+,298676
0-19,206366
20-39,203434
40-59,149430
60+,82681
0-19,3423
20-39,3355
40-59,3049
60+,2178
0-19,377184
20-39,465213
40-59,500609
60+,311247
0-19,66809
20-39,69621
40-59,58997
60+,41917
0-19,13125
20-39,12156
40-59,9894
60+,7468
0-19,738549
20-39,665129
40-59,425964
60+,195045
0-19,223265
20-39,209664
40-59,161219
60+,74451
0-19,1284006
20-39,1266010
40-59,1005658
60+,508541
0-19,69254
20-39,53112
40-59,30429
60+,12643
0-19,663720
20-39,598330
40-59,379314
60+,171230
0-19,551022
20-39,614562
40-59,595906
60+,324650
0-19,222625
20-39,209261
40-59,161031
60+,74364
0-19,32931
20-39,29546
40-59,19725
60+,9209
0-19,204249
20-39,164915
40-59,99448
60+,43998
0-19,1418947
20-39,1421800
40-59,1156700
60+,630165
0-19,68933
20-39,53534
40-59,31025
60+,13321
0-19,122190
20-39,104236
40-59,63240
60+,24691
0-19,5444
20-39,3771
40-59,2261
60+,844
0-19,685219
20-39,610097
40-59,385657
60+,175379
0-19,40723
20-39,53098
40-59,64112
60+,65352
0-19,39482
20-39,28812
40-59,17490
60+,8038
0-19,874556
20-39,787937
40-59,518990
60+,232687
0-19,464171
20-39,551936
40-59,556092
60+,324055
0-19,1418941
20-39,1421795
40-59,1156695
60+,630161
0-19,40550
20-39,52924
40-59,63958
60+,65272
0-19,40618
20-39,52997
40-59,64016
60+,65307
0-19,1418947
20-39,1421800
40-59,1156700
60+,630165
0-19,716618
20-39,636368
40-59,400572
60+,180277
0-19,767392
20-39,689074
40-59,440817
60+,199430
0-19,546817
20-39,610128
40-59,591981
60+,320769
0-19,195646
20-39,182327
40-59,142252
60+,65971
0-19,73611
20-39,68426
40-59,42461
60+,16307
0-19,114951
20-39,122366
40-59,100175
60+,63818
0-19,415279
20-39,497392
40-59,509604
60+,299429
0-19,179618
20-39,141456
40-59,83100
60+,32186
0-19,49307
20-39,28944
40-59,12866
60+,4938
0-19,16071
20-39,23878
40-59,15666
60+,3029
0-19,35384
20-39,31234
40-59,22041
60+,10770
0-19,78845
20-39,57392
40-59,32511
60+,13419
0-19,153250
20-39,122771
40-59,71736
60+,26998
0-19,104405
20-39,57933
40-59,24969
60+,7958
0-19,235708
20-39,132260
40-59,56981
60+,20434
0-19,381426
20-39,471881
40-59,508056
60+,316707
0-19,63739
20-39,79384
40-59,80508
60+,69360
0-19,74800
20-39,92508
40-59,92973
60+,79529
0-19,604693
20-39,681549
40-59,669278
60+,391167
0-19,113169
20-39,57238
40-59,25044
60+,8968
0-19,214028
20-39,112290
40-59,52809
60+,18061
0-19,204249
20-39,164915
40-59,99448
60+,43998
0-19,6389
20-39,5625
40-59,3676
60+,1934
0-19,43409
20-39,31707
40-59,18790
60+,8407
0-19,2308
20-39,2094
40-59,1289
60+,773
0-19,632
20-39,532
40-59,173
60+,47
0-19,1829
20-39,1029
40-59,449
60+,219
0-19,277
20-39,335
40-59,346
60+,349
0-19,559
20-39,371
40-59,151
60+,60
0-19,58864
20-39,35228
40-59,14739
60+,6112
0-19,61707
20-39,64909
40-59,56075
60+,40981
0-19,157961
20-39,189326
40-59,208532
60+,191799
0-19,157961
20-39,189326
40-59,208532
60+,191799
0-19,247985
20-39,290496
40-59,301062
60+,276940
0-19,79487
20-39,91766
40-59,109068
60+,104518
0-19,3069
20-39,3826
40-59,4018
60+,3524
0-19,84734
20-39,98100
40-59,115593
60+,111058
0-19,105487
20-39,124800
40-59,144621
60+,138207
0-19,330
20-39,273
40-59,194
60+,79
0-19,1170
20-39,1374
40-59,1375
60+,1599
0-19,15405
20-39,15378
40-59,16957
60+,17510
0-19,16312
20-39,16097
40-59,17694
60+,18025
0-19,120
20-39,79
40-59,58
60+,21
0-19,81
20-39,80
40-59,72
60+,32
0-19,1019
20-39,713
40-59,362
60+,111
0-19,1315
20-39,708
40-59,285
60+,89
0-19,1022
20-39,1062
40-59,1038
60+,850
0-19,15808
20-39,20245
40-59,23727
60+,23981
0-19,14671
20-39,9585
40-59,5162
60+,1634
0-19,167344
20-39,135214
40-59,80293
60+,31107
0-19,1947
20-39,2389
40-59,3075
60+,2990
0-19,30
20-39,32
40-59,23
60+,9
0-19,2201762
20-39,1899526
40-59,1366666
60+,667304
0-19,202956
20-39,234400
40-59,243840
60+,237344
0-19,169077
20-39,194323
40-59,204568
60+,204639
0-19,1316063
20-39,1390760
40-59,1205318
60+,741167
0-19,99
20-39,77
40-59,107
60+,97
0-19,49
20-39,45
40-59,36
60+,19
0-19,7915
20-39,5942
40-59,2752
60+,1287
0-19,7161
20-39,3832
40-59,1509
60+,613
0-19,1027
20-39,592
40-59,245
60+,83
0-19,16071
20-39,23878
40-59,15666
60+,3029
0-19,287
20-39,235
40-59,165
60+,77
0-19,4843
20-39,3771
40-59,1893
60+,875
0-19,280859
20-39,332676
40-59,341311
60+,308226
0-19,4067
20-39,3371
40-59,1725
60+,722
0-19,1875
20-39,2404
40-59,2786
60+,2575
0-19,83
20-39,91
40-59,80
60+,66
0-19,487059
20-39,455533
40-59,297788
60+,139600
0-19,94255
20-39,84736
40-59,66998
60+,27516
0-19,26310
20-39,29079
40-59,19947
60+,8637
0-19,19318
20-39,12565
40-59,6274
60+,2045
0-19,1337
20-39,1260
40-59,1359
60+,959
0-19,3071
20-39,2315
40-59,1832
60+,1417
0-19,10725
20-39,13097
40-59,18585
60+,18036
0-19,927
20-39,957
40-59,676
60+,385
0-19,21442
20-39,26599
40-59,35010
60+,43402
0-19,4389
20-39,3291
40-59,1893
60+,613
0-19,6586
20-39,5564
40-59,4321
60+,2285
0-19,26757
20-39,17062
40-59,7705
60+,2231
0-19,49
20-39,32
40-59,17
60+,3
0-19,1138
20-39,1319
40-59,1524
60+,272
0-19,2628
20-39,2093
40-59,1263
60+,518
0-19,185227
20-39,99504
40-59,41370
60+,15268
0-19,68933
20-39,53534
40-59,31025
60+,13321
0-19,1299
20-39,1951
40-59,1662
60+,1183
0-19,7378
20-39,6105
40-59,3392
60+,1907
0-19,275574
20-39,177364
40-59,95262
60+,47375
0-19,12720
20-39,16253
40-59,17797
60+,15663
0-19,262850
20-39,161106
40-59,77463
60+,31704
0-19,3030
20-39,2445
40-59,1294
60+,487
0-19,209795
20-39,206793
40-59,152484
60+,84871
0-19,179301
20-39,180948
40-59,136946
60+,76446
0-19,208683
20-39,205769
40-59,151203
60+,83698
0-19,392
20-39,448
40-59,514
60+,511
0-19,179618
20-39,141456
40-59,83100
60+,32186
0-19,522953
20-39,319020
40-59,156402
60+,59041
0-19,381130
20-39,201129
40-59,87478
60+,32077
0-19,136422
20-39,113785
40-59,66843
60+,26005
0-19,4843
20-39,3771
40-59,1893
60+,875
0-19,548
20-39,320
40-59,179
60+,59
0-19,2284
20-39,2184
40-59,1584
60+,756
0-19,903
20-39,718
40-59,348
60+,154
0-19,2318724
20-39,2016939
40-59,1463057
60+,722755
0-19,1975877
20-39,1594084
40-59,1014781
60+,465443
0-19,1795765
20-39,1697915
40-59,1306650
60+,663702
0-19,679091
20-39,394592
40-59,193007
60+,73890
0-19,1424378
20-39,1411769
40-59,1115290
60+,563120
0-19,209795
20-39,206793
40-59,152484
60+,84871
0-19,5448
20-39,3774
40-59,2265
60+,849
0-19,2590
20-39,1466
40-59,725
60+,257
0-19,2466
20-39,2255
40-59,1664
60+,468
0-19,541
20-39,651
40-59,773
60+,741
0-19,404477
20-39,227260
40-59,103804
60+,40146
0-19,1195550
20-39,990105
40-59,630391
60+,282169
0-19,127
20-39,180
40-59,181
60+,119
0-19,14102
20-39,8265
40-59,3923
60+,1381
0-19,10397
20-39,5659
40-59,2279
60+,775
0-19,10255
20-39,11417
40-59,7133
60+,3540
0-19,128
20-39,274
40-59,96
60+,26
0-19,11765
20-39,5360
40-59,2331
60+,774
0-19,81
20-39,116
40-59,110
60+,115
0-19,80
20-39,71
40-59,102
60+,101
0-19,2312
20-39,1405
40-59,687
60+,229
0-19,305
20-39,369
40-59,354
60+,226
0-19,132
20-39,71
40-59,40
60+,10
0-19,4977
20-39,3418
40-59,1996
60+,710
0-19,44515
20-39,40612
40-59,29302
60+,14484
0-19,207
20-39,160
40-59,111
60+,55
0-19,43
20-39,34
40-59,17
60+,5
0-19,100105
20-39,49644
40-59,22006
60+,7820
0-19,1909541
20-39,1781705
40-59,1360916
60+,700868
0-19,1235
20-39,1061
40-59,732
60+,231
0-19,148
20-39,168
40-59,160
60+,133
0-19,277114
20-39,325483
40-59,343713
60+,326975
0-19,21442
20-39,26599
40-59,35010
60+,43402
0-19,157961
20-39,189326
40-59,208532
60+,191799
0-19,90021
20-39,101166
40-59,92528
60+,85134
0-19,7677
20-39,8380
40-59,7630
60+,6614
0-19,12845
20-39,11486
40-59,8193
60+,4369
0-19,17308
20-39,8879
40-59,3685
60+,1361
0-19,18933
